Symbol,Security,GICS Sector,GICS Sub-Industry,Date Added,Date Removed
CB,Chubb Limited,Financials,Property & Casualty Insurance,2010-07-15,
CHD,Church & Dwight,Consumer Staples,Household Products,2015-12-29,
CI,Cigna,Health Care,Managed Health Care,1976-06-30,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1997-12-18,
CTAS,Cintas,Industrials,Diversified Support Services,2001-03-01,
CSCO,Cisco,Information Technology,Communications Equipment,1993-12-01,
C,Citigroup,Financials,Diversified Banks,1988-05-31,
CFG,Citizens Financial Group,Financials,Regional Banks,2016-01-29,
CLX,Clorox,Consumer Staples,Household Products,1969-03-31,
CME,CME Group,Financials,Financial Exchanges & Data,2006-08-11,
CMS,CMS Energy,Utilities,Multi-Utilities,1957-03-04,
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1957-03-04,
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2006-11-17,
CL,Colgate-Palmolive,Consumer Staples,Household Products,1957-03-04,
CMCSA,Comcast,Communication Services,Cable & Satellite,2002-11-19,
CMA,Comerica,Financials,Diversified Banks,1995-12-01,
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1983-08-31,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1957-03-04,
ED,Consolidated Edison,Utilities,Electric Utilities,1957-03-04,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,2005-07-01,
CEG,Constellation Energy,Utilities,Multi-Utilities,2022-02-02,
COO,CooperCompanies,Health Care,Health Care Supplies,2016-09-23,
CPRT,Copart,Industrials,Diversified Support Services,2018-07-02,
GLW,Corning Inc.,Information Technology,Electronic Components,1995-02-27,
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019-06-03,
CSGP,CoStar Group,Industrials,Research & Consulting Services,2022-09-19,
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,1993-10-01,
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2008-06-23,
CCI,Crown Castle,Real Estate,Telecom Tower REITs,2012-03-14,
CSX,CSX,Industrials,Rail Transportation,1957-03-04,
CMI,Cummins,Industrials,Industrial Machinery & Supplies & Components,1965-03-31,
CVS,CVS Health,Health Care,Health Care Services,1957-03-04,
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,2005-06-22,
DHR,Danaher Corporation,Health Care,Health Care Equipment,1998-11-18,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,1995-05-31,
DVA,DaVita Inc.,Health Care,Health Care Facilities,2008-07-31,
DE,John Deere,Industrials,Agricultural & Farm Machinery,1957-03-04,
DAL,Delta Air Lines,Industrials,Passenger Airlines,2013-09-11,
